condition,n,count,correct,wrong_tool,hallucinated,malformed,no_call,retrieval_miss,tokens_mean
mcp,10,20,0.9,0.0,0.0,0.0,0.1,0.0,299.15
mcp,50,20,0.9,0.0,0.0,0.0,0.1,0.0,1175.2
sif,10,20,0.8,0.2,0.0,0.0,0.0,0.0,239.15
sif,50,20,1.0,0.0,0.0,0.0,0.0,0.0,438.45
