condition,n,count,correct,wrong_tool,wrong_args,hallucinated,malformed,no_call,clarify,overcall,retrieval_miss,tokens_mean
mcp,10,20,0.75,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,2815.05
mcp,50,20,0.6,0.25,0.05,0.0,0.0,0.1,0.0,0.0,0.0,3999.85
sif,10,20,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2821.95
sif,50,20,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3485.6
