condition,n,count,correct,wrong_tool,wrong_args,hallucinated,malformed,no_call,clarify,overcall,retrieval_miss,tokens_mean
mcp,10,20,0.85,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,410.0
mcp,50,20,0.4,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1589.05
sif,10,20,0.9,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,416.65
sif,50,20,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.55
