condition,n,count,correct,wrong_tool,hallucinated,malformed,no_call,retrieval_miss,tokens_mean
mcp,10,20,1.0,0.0,0.0,0.0,0.0,0.0,289.25
mcp,50,20,1.0,0.0,0.0,0.0,0.0,0.0,1162.15
mcp,100,20,1.0,0.0,0.0,0.0,0.0,0.0,2262.9
sif,10,20,1.0,0.0,0.0,0.0,0.0,0.0,256.6
sif,50,20,1.0,0.0,0.0,0.0,0.0,0.0,459.3
sif,100,20,1.0,0.0,0.0,0.0,0.0,0.0,718.5
